Hora,Real,Prevista,Programada
"2023-07-04 21:00","31874","31920","31777",
"2023-07-04 21:05","31707","31931","31777",
"2023-07-04 21:10","31730","31926","31777",
"2023-07-04 21:15","31663","31905","31760",
"2023-07-04 21:20","31667","31877","31760",
"2023-07-04 21:25","31739","31854","31760",
"2023-07-04 21:30","31943","31834","31817",
"2023-07-04 21:35","31932","31802","31817",
"2023-07-04 21:40","31649","31741","31817",
"2023-07-04 21:45","31865","31652","31767",
"2023-07-04 21:50","31884","31582","31767",
"2023-07-04 21:55","31761","31579","31767",
"2023-07-04 22:00","31692","31644","31546",
"2023-07-04 22:05","31547","31691","31546",
"2023-07-04 22:10","31572","31633","31546",
"2023-07-04 22:15","31478","31470","31396",
"2023-07-04 22:20","31379","31263","31396",
"2023-07-04 22:25","31461","31069","31396",
"2023-07-04 22:30","31277","30889","31036",
"2023-07-04 22:35","31085","30713","31036",
"2023-07-04 22:40","31005","30531","31036",
"2023-07-04 22:45","30779","30342","30374",
"2023-07-04 22:50","30668","30143","30374",
"2023-07-04 22:55","30569","29933","30374",
"2023-07-04 23:00","30271","29712","29692",
"2023-07-04 23:05","30039","29501","29692",
"2023-07-04 23:10","29706","29325","29692",
"2023-07-04 23:15","29559","29183","29292",
"2023-07-04 23:20","29515","29058","29292",
"2023-07-04 23:25","29347","28933","29292",
"2023-07-04 23:30","29077","28809","28565",
"2023-07-04 23:35","28910","28681","28565",
"2023-07-04 23:40","28634","28544","28565",
"2023-07-04 23:45","28455","28398","28017",
"2023-07-04 23:50","28404","28272","28017",
"2023-07-04 23:55","28273","28195","28017",
"2023-07-05 00:00","27818","28165","28030",
"2023-07-05 00:05","28213","28132","28030",
"2023-07-05 00:10","28265","28044","28030",
"2023-07-05 00:15","28220","27901","27666",
"2023-07-05 00:20","28133","27735","27666",
"2023-07-05 00:25","28047","27582","27666",
"2023-07-05 00:30","27607","27441","27216",
"2023-07-05 00:35","27718","27306","27216",
"2023-07-05 00:40","27514","27171","27216",
"2023-07-05 00:45","27213","27037","26725",
"2023-07-05 00:50","27219","26897","26725",
"2023-07-05 00:55","26936","26744","26725",
"2023-07-05 01:00","26769","26579","26428",
"2023-07-05 01:05","26580","26418","26428",
"2023-07-05 01:10","26384","26274","26428",
"2023-07-05 01:15","26346","26149","26219",
"2023-07-05 01:20","26398","26035","26219",
"2023-07-05 01:25","26279","25922","26219",
"2023-07-05 01:30","26180","25810","25672",
"2023-07-05 01:35","25876","25700","25672",
"2023-07-05 01:40","25697","25591","25672",
"2023-07-05 01:45","25495","25482","25178",
"2023-07-05 01:50","25588","25384","25178",
"2023-07-05 01:55","25281","25304","25178",
"2023-07-05 02:00","25189","25243","25155",
"2023-07-05 02:05","25119","25185","25155",
"2023-07-05 02:10","25091","25113","25155",
"2023-07-05 02:15","25100","25027","24903",
"2023-07-05 02:20","24902","24938","24903",
"2023-07-05 02:25","24914","24857","24903",
