Hora,Eolica,Nuclear,Fuel/gas,Carbon,Ciclo combinado,Hidraulica,Intercambios int,Enlace balear,Solar fotovoltaica,Solar termica,Termica renovable,Cogeneracion y residuos
"2023-07-04 21:00","6468","6892","0","304","9210","4361","-1106","-262","1659","1225","499","2115",
"2023-07-04 21:05","6399","6892","0","302","8861","4173","-245","-237","1351","1156","486","2120",
"2023-07-04 21:10","6331","6895","0","305","8825","4133","180","-234","1082","1106","486","2133",
"2023-07-04 21:15","6325","6891","0","304","8790","4101","502","-234","830","1055","466","2133",
"2023-07-04 21:20","6371","6895","0","305","8853","4240","567","-234","626","997","466","2125",
"2023-07-04 21:25","6385","6892","0","304","8913","4373","647","-234","464","952","466","2133",
"2023-07-04 21:30","6651","6897","0","304","8892","4653","443","-234","324","929","479","2136",
"2023-07-04 21:35","6679","6896","0","305","9108","4532","282","-234","233","918","486","2133",
"2023-07-04 21:40","6709","6899","0","305","9163","4341","390","-234","180","887","486","2135",
"2023-07-04 21:45","6727","6895","0","306","9266","4416","350","-234","149","856","486","2137",
"2023-07-04 21:50","6751","6895","0","303","9314","4479","341","-234","131","813","486","2141",
"2023-07-04 21:55","6775","6898","0","305","9313","4377","354","-234","112","771","486","2143",
"2023-07-04 22:00","6822","6902","0","303","9298","4174","458","-213","108","730","486","2145",
"2023-07-04 22:05","6911","6897","0","305","9017","4391","331","-197","105","693","492","2143",
"2023-07-04 22:10","6927","6900","0","305","8866","4449","466","-182","95","679","492","2145",
"2023-07-04 22:15","6956","6894","0","305","8875","4431","344","-167","95","664","492","2145",
"2023-07-04 22:20","6961","6895","0","305","8861","4383","293","-167","95","661","492","2146",
"2023-07-04 22:25","6964","6894","0","304","8822","4358","431","-167","94","655","492","2133",
"2023-07-04 22:30","6981","6892","0","304","8801","4249","426","-167","93","652","492","2144",
"2023-07-04 22:35","6962","6892","0","304","8574","4368","322","-167","93","644","492","2150",
"2023-07-04 22:40","7057","6901","0","304","8546","4250","283","-167","93","644","492","2149",
"2023-07-04 22:45","7092","6899","0","304","8463","4003","346","-167","93","643","492","2149",
"2023-07-04 22:50","7088","6899","0","303","8239","4015","505","-167","93","643","492","2146",
"2023-07-04 22:55","7061","6900","0","291","8167","3991","522","-167","92","641","492","2142",
"2023-07-04 23:00","7119","6903","0","277","8159","3984","168","-142","92","640","492","2145",
"2023-07-04 23:05","7148","6899","0","261","8320","4002","-283","-124","92","639","492","2137",
"2023-07-04 23:10","7194","6898","0","256","8286","3894","-469","-124","92","623","492","2135",
"2023-07-04 23:15","7238","6899","0","256","8146","3641","-314","-124","93","640","492","2128",
"2023-07-04 23:20","7246","6897","0","256","8023","3520","-104","-124","92","640","492","2134",
"2023-07-04 23:25","7251","6900","0","256","7947","3395","-81","-124","93","641","492","2133",
"2023-07-04 23:30","7320","6900","0","256","7825","3436","-334","-124","93","642","492","2137",
"2023-07-04 23:35","7169","6899","0","256","7791","3410","-276","-124","93","644","492","2128",
"2023-07-04 23:40","7251","6900","0","255","7731","3273","-435","-124","93","645","492","2116",
"2023-07-04 23:45","7267","6908","0","255","7621","2924","-167","-123","92","644","479","2120",
"2023-07-04 23:50","7192","6913","0","255","7619","2620","116","-124","92","643","492","2125",
"2023-07-04 23:55","7227","6909","0","256","7674","2553","-22","-124","93","644","492","2120",
"2023-07-05 00:00","7264","6912","0","255","7615","2360","-263","-99","93","646","479","2123",
"2023-07-05 00:05","7300","6909","0","255","7551","2394","104","-82","93","647","474","2098",
"2023-07-05 00:10","7358","6912","0","255","7478","2436","66","-82","93","649","474","2096",
"2023-07-05 00:15","7362","6908","0","255","7493","2432","108","-82","93","644","474","2098",
"2023-07-05 00:20","7333","6912","0","254","7544","2432","-13","-82","93","635","474","2095",
"2023-07-05 00:25","7331","6913","0","256","7567","2396","-164","-82","92","634","474","2099",
"2023-07-05 00:30","7135","6909","0","256","7488","2034","175","-82","92","634","475","2101",
"2023-07-05 00:35","7037","6910","0","256","7617","2010","269","-82","91","634","474","2100",
"2023-07-05 00:40","6944","6908","0","255","7553","1922","282","-82","91","634","474","2102",
"2023-07-05 00:45","6871","6911","0","255","7398","1921","207","-82","91","633","474","2105",
"2023-07-05 00:50","6840","6905","0","255","7225","1845","516","-82","91","633","471","1738",
"2023-07-05 00:55","6805","6908","0","255","7221","1897","195","-82","91","632","471","2100",
"2023-07-05 01:00","6708","6908","0","255","7334","1916","22","-82","91","634","469","2094",
"2023-07-05 01:05","6671","6910","0","255","7393","1859","-122","-82","91","640","476","2069",
"2023-07-05 01:10","6603","6909","0","255","7403","1807","-144","-82","91","641","476","2054",
"2023-07-05 01:15","6542","6905","0","255","7485","1820","-226","-82","91","642","476","2049",
"2023-07-05 01:20","6479","6905","0","258","7452","1998","-354","-82","91","643","489","2051",
"2023-07-05 01:25","6394","6905","0","256","7393","1984","-288","-82","91","642","489","2058",
"2023-07-05 01:30","6184","6905","0","255","7362","2123","-287","-82","91","643","489","2063",
"2023-07-05 01:35","6107","6909","0","255","7345","1893","-225","-82","91","641","490","2067",
"2023-07-05 01:40","6061","6904","0","256","7262","1895","-255","-82","91","641","490","2062",
"2023-07-05 01:45","6029","6904","0","255","7193","1894","-298","-82","57","642","473","2063",
"2023-07-05 01:50","5997","6900","0","255","7263","1720","-180","-82","57","644","487","2067",
"2023-07-05 01:55","5922","6912","0","255","7283","1681","-297","-82","57","627","487","2071",
"2023-07-05 02:00","5864","6906","0","255","7277","1713","-404","-82","57","643","475","2055",
"2023-07-05 02:05","5788","6905","0","255","7243","1620","-239","-82","57","641","472","2044",
"2023-07-05 02:10","5696","6905","0","255","7157","1593","-58","-82","57","637","472","2043",
"2023-07-05 02:15","5638","6904","0","255","7222","1597","-41","-82","57","634","472","2040",
"2023-07-05 02:20","5606","6908","0","255","7231","1606","-242","-82","57","633","472","2044",
"2023-07-05 02:25","5599","6905","0","255","7094","1562","-18","-82","33","634","472","2046",
"2023-07-05 02:30","5604","6899","0","255","7023","1511","-109","-82","33","633","472","2049",
"2023-07-05 02:35","5588","6906","0","255","6907","1498","-150","-82","34","635","472","2050",
"2023-07-05 02:40","5558","6907","0","255","6944","1502","-89","-82","33","635","472","2041",
"2023-07-05 02:45","5544","6907","0","255","6891","1488","-129","-82","33","635","472","2038",
"2023-07-05 02:50","5542","6910","0","255","6831","1466","-41","-82","33","632","472","2036",
"2023-07-05 02:55","5549","6904","0","255","6784","1460","-57","-82","33","618","472","2039",
"2023-07-05 03:00","5543","6906","0","255","6697","1405","77","-82","33","615","472","2038",
"2023-07-05 03:05","5507","6908","0","256","6886","1240","115","-82","33","614","472","2038",
"2023-07-05 03:10","5466","6908","0","254","6820","1227","247","-82","33","599","472","2045",
